File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/tracker3/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
 Dir /home/dima/.cache/nvidia/aabcdefg_181222 +++ 18.12.2022 +++
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/nvidia/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
 Dir /home/dima/.cache/google-chrome/aabcdefg_181222 +++ 18.12.2022 +++
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/google-chrome/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
 Dir /home/dima/.cache/thumbnails/aabcdefg_181222 +++ 18.12.2022 +++
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabcccccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/thumbnails/aabcdefg_181222/aaabccccccccccccccccccccccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
 Dir /home/dima/.cache/mesa_shader_cache/aabcdefg_181222 +++ 18.12.2022 +++
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabcc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabcccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabcccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabcccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabcccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabcccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabcccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabcccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabcccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabcccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabcccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabcccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabcccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
File /home/dima/.cache/mesa_shader_cache/aabcdefg_181222/aaabcccccccccccccccccccccccccccc.txt_181222/ --- 18.12.2022 --- 100Mb
